0;73\5 2 NONE,73\123 2 NONE,73\315 25 NONE,73\373 2 NONE,73\279 37 NONE,73\189 2 NONE,73\428 26 NONE,73\434 1 NONE,73\185 45 NONE,73\427 1 title,73\187 2 NONE,73\186 2 NONE,73\180 37 NONE,73\275 2 NONE,73\182 45 NONE,73\425 2 NONE,73\104 45 NONE,73\107 2 NONE,73\88 2 NONE,73\464 2 NONE,73\103 2 NONE,73\109 1 NONE,73\63 3 NONE,73\37 42 NONE,73\69 45 NONE,73\80 2 NONE,73\469 3 NONE,73\493 3 NONE,73\361 2 NONE,73\360 2 NONE,73\362 27 NONE,73\438 1 NONE,73\369 3 NONE,73\368 13 NONE,73\437 1 NONE,73\436 2 NONE,73\423 15 NONE,73\430 2 NONE,73\433 3 NONE,73\131 3 NONE,73\132 2 NONE,73\44 1 NONE,73\208 3 NONE,73\137 2 NONE,73\72 2 NONE,73\204 27 NONE,73\209 2 NONE,73\202 63 NONE,73\203 4 NONE,73\200 330 NONE,73\286 2 NONE,73\70 26 NONE,73\285 2 NONE,73\282 3 NONE,73\283 2 NONE,73\74 1 NONE,73\420 43 NONE,73\79 3 NONE,73\289 26 NONE,73\55 1 NONE,73\408 45 NONE,73\409 2 NONE,73\358 1 NONE,73\359 2 NONE,73\354 6 NONE,73\355 2 NONE,73\403 2 NONE,73\404 1 NONE,73\405 12 NONE,73\406 2 NONE,73\353 2 NONE,73\480 3 NONE,73\481 2 NONE,73\270 2 NONE,73\484 3 NONE,73\485 1 NONE,73\129 3 NONE,73\127 1 NONE,73\489 2 NONE,73\217 1 NONE,73\211 2 NONE,73\122 2 NONE,73\213 2 NONE,73\120 2 NONE,73\295 2 NONE,73\294 2 NONE,73\92 45 NONE,73\290 2 NONE,73\292 10 NONE,73\398 26 NONE,73\45 3 NONE,73\421 2 NONE,73\42 45 NONE,73\77 1 NONE,73\417 3 NONE,73\24 3 NONE,73\26 80 NONE,73\21 2 NONE,73\20 2 NONE,73\419 45 NONE,73\22 6 NONE,73\349 1 NONE,73\343 2 NONE,73\342 3 NONE,73\341 1 NONE,73\340 6 NONE,73\345 1 NONE,73\344 1 NONE,73\158 21 NONE,73\499 2 NONE,73\498 7 NONE,73\220 2 NONE,73\221 45 NONE,73\222 3 NONE,73\494 1 NONE,73\224 1 NONE,73\225 2 NONE,73\491 2 NONE,73\155 2 NONE,73\379 2 NONE,73\59 2 NONE,73\140 2 NONE,73\50 26 NONE,73\54 2 NONE,73\334 79 NONE,73\57 3 NONE,73\462 2 NONE,73\461 2 NONE,73\301 45 NONE,73\38 1 NONE,73\332 2 NONE,73\34 2 NONE,73\300 1 NONE,73\33 2 NONE,73\236 3 NONE,73\234 19 NONE,73\233 2 NONE,73\232 80 NONE,73\231 79 NONE,73\265 26 NONE,73\239 45 NONE,73\238 2 NONE,73\192 2 NONE,73\143 2 NONE,73\145 15 NONE,73\144 19 NONE,73\330 44 NONE,73\331 2 NONE,73\190 1 NONE,73\445 26 NONE,73\470 2 NONE,73\473 2 NONE,73\475 3 NONE,73\474 1 NONE,73\479 2 NONE,73\478 4 NONE,73\83 26 NONE,73\175 3 NONE,73\176 2 NONE,73\241 2 NONE,73\170 1 NONE,73\84 1 NONE,73\89 5 NONE,73\249 26 NONE,73\178 10 NONE,73\163 2 NONE,73\329 1 NONE,73\324 3 NONE,73\327 2 NONE,73\320 3 NONE,73\323 45 NONE,73\497 1 NONE,73\252 9 NONE,73\98 2 NONE,73\495 2 NONE,73\99 37 NONE,73\448 2 NONE,73\444 3 NONE,73\156 1 NONE,73\446 45 NONE,73\443 3 NONE,73\251 2 NONE,73\94 2 NONE,73\253 2 NONE,73\160 13 NONE,73\255 3 NONE,73\254 3 NONE,73\165 2 NONE,73\401 19 NONE,73\259 3 NONE,73\169 2 NONE,73\227 2 NONE,73\96 3 NONE,73\467 2 NONE,73\93 1 NONE,73\318 1 NONE,73\319 3 NONE,73\310 2 NONE,73\311 2 NONE,73\4 28 NONE,73\313 1 NONE,73\2 12 NONE,73\3 2 NONE,73\316 26 NONE,73\1 1 NONE,73\390 2 NONE,73\392 27 NONE,73\393 2 NONE,73\394 1 NONE,73\395 3 NONE,73\309 3 NONE,73\407 2 NONE,73\458 2 NONE,73\426 3 NONE,73\451 1 NONE,73\450 2 NONE,73\455 2 NONE,73\454 1 NONE,73\307 3 NONE,73\306 2 NONE,73\268 1 NONE,73\302 2 NONE,73\198 10 NONE,73\199 2 NONE,73\264 2 NONE,73\197 1 NONE,73\260 45 NONE,73\262 2 NONE,73\308 11 NONE,73\370 3 NONE,73\112 46 NONE,73\486 2 NONE,73\110 2 NONE,73\82 79 NONE,73\383 2 NONE,73\81 2 NONE,73\119 5 NONE,73\488 3 NONE,73\177 2 NONE,73\10 2 NONE,73\11 330 NONE,73\12 26 NONE,73\386 1 NONE,73\384 2 NONE,73\18 1 NONE,73\87 2 NONE
00;73\36 1 NONE,73\442 2 NONE,73\250 3 NONE,73\160 15 NONE,73\255 5 NONE,73\259 6 NONE,73\184 2 NONE,73\405 7 NONE,73\319 6 NONE,73\6 1 NONE,73\488 5 NONE,73\311 2 NONE,73\313 3 NONE,73\145 4 NONE,73\330 1 NONE,73\146 1 NONE,73\394 3 NONE,73\396 1 NONE,73\68 1 NONE,73\191 1 NONE,73\435 2 NONE,73\29 1 NONE,73\454 3 NONE,73\80 4 NONE,73\369 5 NONE,73\368 2 NONE,73\340 2 NONE,73\423 4 NONE,73\308 21 NONE,73\131 5 NONE,73\44 1 NONE,73\498 1 NONE,73\206 4 NONE,73\150 1 NONE,73\493 5 NONE,73\320 5 NONE,73\200 7 NONE,73\322 5 NONE,73\287 6 NONE,73\76 1 NONE,73\11 7 NONE,73\222 5 NONE,73\57 5 NONE
000;73\329 2 NONE,73\445 1 NONE,73\144 4 NONE,73\98 1 NONE,73\99 3 NONE,73\428 3 title,73\112 1 NONE,73\18 1 NONE,73\406 1 NONE
00000;73\329 1 NONE
000000;73\163 1 NONE,73\349 1 NONE,73\11 2 NONE,73\200 2 NONE
000066;73\438 3 NONE,73\38 3 NONE
000088;73\94 1 NONE
00018;73\468 1 NONE
0001pt;73\340 2 NONE,73\10 1 NONE
000830;73\469 1 NONE
001;73\329 1 NONE,73\11 1 NONE,73\200 1 NONE
0010000c;73\329 2 NONE
001033;73\469 1 NONE
002;73\329 2 NONE
00200;73\329 1 NONE
00233;73\329 1 NONE
00244;73\111 2 title
003139;73\469 1 NONE
00344;73\167 2 title
00348;73\329 1 NONE
00349;73\329 1 NONE
0034b;73\329 1 NONE
0037a;73\329 1 NONE
0037b;73\329 1 NONE
0037c;73\329 1 NONE
0037d;73\329 1 NONE
0037e;73\329 1 NONE
00380;73\329 1 NONE
003ff;73\329 1 NONE
005;73\308 1 NONE
005108;73\248 1 NONE
0064a4;73\331 1 NONE,73\461 1 NONE,73\448 1 NONE,73\33 1 NONE,73\155 1 NONE,73\251 1 NONE,73\373 1 NONE,73\253 1 NONE,73\189 1 NONE,73\359 1 NONE,73\165 1 NONE,73\355 1 NONE,73\169 1 NONE,73\186 1 NONE,73\187 1 NONE,73\275 1 NONE,73\481 1 NONE,73\107 1 NONE,73\270 1 NONE,73\486 1 NONE,73\489 1 NONE,73\5 1 NONE,73\211 1 NONE,73\3 1 NONE,73\120 1 NONE,73\294 1 NONE,73\393 1 NONE,73\290 1 NONE,73\403 1 NONE,73\479 1 NONE,73\450 1 NONE,73\455 1 NONE,73\361 1 NONE,73\306 1 NONE,73\176 1 NONE,73\87 1 NONE,73\302 1 NONE,73\199 1 NONE,73\264 1 NONE,73\88 1 NONE,73\192 1 NONE,73\430 1 NONE,73\110 1 NONE,73\137 1 NONE,73\220 1 NONE,73\72 1 NONE,73\81 1 NONE,73\227 1 NONE,73\286 1 NONE,73\59 1 NONE,73\283 1 NONE,73\233 1 NONE,73\383 1 NONE
006911;73\97 1 NONE
007;73\138 1 NONE,73\202 1 NONE,73\308 1 NONE
0077;73\361 1 NONE
008;73\308 1 NONE
00800;73\329 2 NONE
00801;73\329 1 NONE
00802;73\329 2 NONE
00am;73\11 1 NONE,73\200 1 NONE
00bff;73\329 1 NONE
00em;73\478 1 NONE
00pm;73\273 1 NONE,73\492 1 NONE
00z;73\340 2 NONE,73\10 2 NONE
01;73\423 1 NONE,73\301 3 NONE,73\38 1 NONE,73\332 1 NONE,73\446 3 NONE,73\353 1 NONE,73\320 30 NONE,73\163 12 NONE,73\259 30 NONE,73\279 1 NONE,73\55 1 NONE,73\255 30 NONE,73\323 3 NONE,73\426 1 NONE,73\164 1 NONE,73\185 3 NONE,73\184 1 NONE,73\379 1 NONE,73\404 1 NONE,73\180 1 NONE,73\239 3 NONE,73\182 3 NONE,73\318 1 NONE,73\104 3 NONE,73\6 4 NONE,73\425 1 NONE,73\464 1 NONE,73\310 1 NONE,73\260 3 NONE,73\4 1 NONE,73\145 1 NONE,73\122 1 NONE,73\1 1 NONE,73\421 1 NONE,73\92 3 NONE,73\309 1 NONE,73\344 1 NONE,73\69 3 NONE,73\76 6 NONE,73\354 1 NONE,73\238 1 NONE,73\407 1 NONE,73\42 3 NONE,73\417 1 NONE,73\470 1 NONE,73\473 1 NONE,73\475 1 NONE,73\493 30 NONE,73\368 1 NONE,73\319 30 NONE,73\26 1 NONE,73\20 1 NONE,73\419 3 NONE,73\241 1 NONE,73\467 1 NONE,73\198 1 NONE,73\84 1 NONE,73\369 30 NONE,73\197 1 NONE,73\178 1 NONE,73\346 2 NONE,73\262 1 NONE,73\191 1 NONE,73\131 30 NONE,73\112 3 NONE,73\499 1 NONE,73\409 1 NONE,73\274 1 NONE,73\221 3 NONE,73\222 30 NONE,73\498 1 NONE,73\224 1 NONE,73\225 1 NONE,73\200 2 NONE,73\406 1 NONE,73\488 30 NONE,73\80 8 NONE,73\10 2 NONE,73\11 2 NONE,73\74 1 NONE,73\427 1 NONE,73\408 3 NONE,73\54 1 NONE,73\382 1 NONE,73\57 30 NONE
010104071583928027831;73\425 2 NONE,73\470 2 NONE,73\473 2 NONE,73\379 2 NONE,73\467 2 NONE,73\464 2 NONE,73\310 2 NONE,73\54 2 NONE,73\332 2 NONE,73\225 2 NONE,73\122 2 NONE,73\409 2 NONE,73\20 2 NONE,73\241 2 NONE,73\406 2 NONE,73\421 2 NONE,73\499 2 NONE,73\353 2 NONE,73\407 2 NONE,73\262 2 NONE,73\238 2 NONE
010190;73\125 1 NONE
0110;73\164 1 NONE
013531;73\469 1 NONE
014128;73\469 1 NONE
018951;73\97 1 NONE
02;73\323 1 NONE,73\36 1 NONE,73\446 1 NONE,73\163 31 NONE,73\185 1 NONE,73\370 2 NONE,73\255 4 NONE,73\154 1 NONE,73\259 4 NONE,73\184 2 NONE,73\239 1 NONE,73\182 1 NONE,73\104 1 NONE,73\129 1 NONE,73\488 4 NONE,73\146 1 NONE,73\444 1 NONE,73\92 1 NONE,73\69 1 NONE,73\76 4 NONE,73\45 1 NONE,73\42 1 NONE,73\28 1 NONE,73\319 4 NONE,73\419 1 NONE,73\80 12 NONE,73\439 1 NONE,73\301 1 NONE,73\369 4 NONE,73\197 1 NONE,73\260 1 NONE,73\433 1 NONE,73\191 1 NONE,73\131 4 NONE,73\221 1 NONE,73\222 4 NONE,73\493 4 NONE,73\320 4 NONE,73\200 1 NONE,73\71 3 title,73\282 1 NONE,73\11 1 NONE,73\324 1 NONE,73\408 1 NONE,73\79 1 NONE,73\57 4 NONE
020;73\308 1 NONE
020943;73\469 1 NONE
021;73\308 1 NONE
0212046;73\453 1 NONE
022;73\308 1 NONE
023023;73\203 1 NONE
023107;73\469 1 NONE
02371t0k0r18;73\11 1 NONE
024;73\308 1 NONE
025;73\308 1 NONE
025413;73\248 1 NONE
026768;73\469 1 NONE
027;73\308 1 NONE
027623;73\248 1 NONE
028;73\308 1 NONE
028009;73\469 1 NONE
028199;73\469 1 NONE
029;73\308 1 NONE
029526;73\469 1 NONE
