0;34\366 2 NONE,34\367 6 NONE,34\364 26 NONE,34\365 2 NONE,34\362 2 NONE,34\363 2 NONE,34\76 3 NONE,34\75 2 NONE,34\368 21 NONE,34\486 2 NONE,34\33 3 NONE,34\32 3 NONE,34\31 2 NONE,34\329 3 NONE,34\36 11 NONE,34\35 19 NONE,34\34 27 NONE,34\39 10 NONE,34\280 1 NONE,34\399 2 NONE,34\418 2 NONE,34\257 26 NONE,34\254 2 NONE,34\393 3 NONE,34\392 9 NONE,34\391 2 NONE,34\259 3 NONE,34\411 1 NONE,34\313 3 NONE,34\312 1 NONE,34\496 2 NONE,34\78 1 NONE,34\316 1 NONE,34\315 2 NONE,34\314 2 NONE,34\319 2 NONE,34\498 1 NONE,34\375 2 NONE,34\377 1 NONE,34\371 23 NONE,34\373 45 NONE,34\372 2 NONE,34\326 3 NONE,34\409 2 NONE,34\327 1 NONE,34\444 2 NONE,34\28 27 NONE,34\29 2 NONE,34\24 1 NONE,34\26 2 NONE,34\27 2 NONE,34\21 4 NONE,34\241 2 NONE,34\243 1 NONE,34\408 2 NONE,34\245 2 NONE,34\247 2 NONE,34\249 2 NONE,34\402 3 NONE,34\401 10 NONE,34\407 2 NONE,34\164 3 NONE,34\165 2 NONE,34\481 1 NONE,34\480 3 NONE,34\487 2 NONE,34\161 2 NONE,34\485 2 NONE,34\484 2 NONE,34\489 2 NONE,34\488 2 NONE,34\491 2 NONE,34\340 1 NONE,34\341 3 NONE,34\104 1 NONE,34\343 45 NONE,34\100 2 NONE,34\347 10 NONE,34\349 2 NONE,34\294 26 NONE,34\109 3 NONE,34\59 45 NONE,34\292 2 NONE,34\52 3 NONE,34\57 5 NONE,34\293 1 NONE,34\279 2 NONE,34\482 3 NONE,34\275 26 NONE,34\270 2 NONE,34\271 1 NONE,34\272 1 NONE,34\173 3 NONE,34\172 30 NONE,34\170 2 NONE,34\478 4 NONE,34\174 1 NONE,34\477 1 NONE,34\179 1 NONE,34\178 330 NONE,34\473 2 NONE,34\470 17 NONE,34\471 1 title,34\115 2 NONE,34\114 2 NONE,34\117 2 NONE,34\111 2 NONE,34\110 2 NONE,34\290 2 NONE,34\291 27 NONE,34\357 1 NONE,34\355 39 NONE,34\119 3 NONE,34\118 1 NONE,34\298 4 NONE,34\48 2 NONE,34\49 2 NONE,34\42 1 NONE,34\40 2 NONE,34\46 2 NONE,34\47 45 NONE,34\44 2 NONE,34\45 1 NONE,34\268 2 NONE,34\263 2 NONE,34\261 2 title,34\267 2 NONE,34\264 2 NONE,34\469 45 NONE,34\468 3 NONE,34\188 2 NONE,34\189 1 NONE,34\186 2 NONE,34\464 26 NONE,34\184 2 NONE,34\185 1 NONE,34\182 3 NONE,34\416 3 NONE,34\181 10 NONE,34\285 2 NONE,34\284 2 NONE,34\287 3 NONE,34\286 2 NONE,34\125 45 NONE,34\127 3 NONE,34\322 2 NONE,34\129 2 NONE,34\320 2 NONE,34\289 2 NONE,34\288 2 NONE,34\79 1 NONE,34\325 2 NONE,34\84 3 NONE,34\86 2 NONE,34\359 1 NONE,34\74 2 NONE,34\458 2 NONE,34\459 2 NONE,34\198 2 NONE,34\474 2 NONE,34\450 2 NONE,34\217 1 NONE,34\215 2 NONE,34\212 3 NONE,34\190 45 NONE,34\193 1 NONE,34\192 1 NONE,34\61 1 NONE,34\63 1 NONE,34\65 2 NONE,34\66 3 NONE,34\420 2 NONE,34\137 2 NONE,34\136 26 NONE,34\135 1 NONE,34\332 2 NONE,34\133 3 NONE,34\131 37 NONE,34\70 3 NONE,34\451 1 NONE,34\1 27 NONE,34\424 10 NONE,34\445 1 NONE,34\196 2 NONE,34\427 2 NONE,34\441 37 NONE,34\96 16 NONE,34\454 2 NONE,34\448 3 NONE,34\209 39 NONE,34\210 2 NONE,34\205 2 NONE,34\453 2 NONE,34\207 2 NONE,34\211 45 NONE,34\201 28 NONE,34\200 18 NONE,34\202 2 NONE,34\99 2 NONE,34\142 1 NONE,34\143 2 NONE,34\140 2 NONE,34\141 2 NONE,34\91 3 NONE,34\90 2 NONE,34\145 4 NONE,34\15 45 NONE,34\14 26 NONE,34\17 1 NONE,34\16 3 NONE,34\11 2 NONE,34\13 26 NONE,34\12 2 NONE,34\432 10 NONE,34\433 45 NONE,34\430 10 NONE,34\431 2 NONE,34\436 3 NONE,34\438 1 NONE,34\439 2 NONE,34\56 2 NONE,34\235 3 NONE,34\236 80 NONE,34\237 1 NONE,34\159 5 NONE,34\151 1 NONE,34\87 2 NONE,34\153 45 NONE,34\85 2 NONE,34\82 2 NONE,34\154 2 NONE,34\80 95 NONE,34\156 2 NONE,34\421 2 NONE,34\226 3 NONE,34\423 2 NONE,34\224 45 NONE,34\223 2 NONE,34\389 3 NONE,34\3 2 NONE,34\220 1 NONE,34\429 2 NONE,34\461 3 NONE,34\380 2 NONE,34\381 13 NONE,34\229 3 NONE,34\228 2 NONE,34\304 1 NONE,34\302 2 NONE,34\303 10 NONE,34\308 1 NONE
00;34\104 1 NONE,34\345 1 NONE,34\70 6 NONE,34\91 5 NONE,34\147 1 NONE,34\145 1 NONE,34\16 5 NONE,34\382 2 NONE,34\12 4 NONE,34\19 1 NONE,34\72 1 NONE,34\250 1 NONE,34\393 5 NONE,34\416 5 NONE,34\259 5 NONE,34\396 1 NONE,34\413 1 NONE,34\313 5 NONE,34\312 1 NONE,34\480 5 NONE,34\198 4 NONE,34\478 1 NONE,34\174 3 title,34\98 1 NONE,34\451 1 NONE,34\287 5 NONE,34\178 7 NONE,34\212 6 NONE,34\237 3 NONE,34\370 1 NONE,34\66 5 NONE,34\68 1 NONE,34\333 9 NONE,34\152 2 NONE,34\119 5 NONE,34\42 1 NONE,34\109 5 NONE,34\45 3 NONE,34\243 3 NONE,34\388 28 NONE,34\389 5 NONE,34\498 2 NONE,34\381 2 NONE,34\229 5 NONE,34\448 5 NONE,34\307 11 NONE,34\209 1 NONE,34\468 5 NONE,34\461 3 NONE,34\463 1 NONE,34\462 1 NONE
000;34\96 5 NONE,34\371 1 NONE,34\257 1 NONE,34\136 2 NONE,34\134 3 NONE,34\14 3 NONE,34\464 2 NONE
000000;34\40 1 NONE,34\178 2 NONE,34\268 1 NONE
000088;34\288 1 NONE,34\485 1 NONE
0000cd;34\96 1 NONE
0001pt;34\355 3 NONE,34\209 6 NONE
0004003;34\463 1 NONE
0006067;34\463 1 NONE
0008025;34\463 1 NONE
0008038;34\452 1 NONE
0008172;34\463 1 NONE
0009005;34\463 1 NONE
001;34\284 2 NONE,34\178 1 NONE
0027;34\234 1 NONE
002728;34\460 1 NONE
004932;34\428 1 NONE
004b6b;34\80 2 NONE
005;34\477 1 NONE
0064a4;34\375 1 NONE,34\75 1 NONE,34\74 1 NONE,34\99 1 NONE,34\363 1 NONE,34\100 1 NONE,34\349 1 NONE,34\140 1 NONE,34\141 1 NONE,34\489 1 NONE,34\11 1 NONE,34\56 1 NONE,34\399 1 NONE,34\279 1 NONE,34\254 1 NONE,34\391 1 NONE,34\270 1 NONE,34\496 1 NONE,34\491 1 NONE,34\314 1 NONE,34\319 1 NONE,34\453 1 NONE,34\454 1 NONE,34\320 1 NONE,34\486 1 NONE,34\159 1 NONE,34\114 1 NONE,34\85 1 NONE,34\86 1 NONE,34\87 1 NONE,34\332 1 NONE,34\82 1 NONE,34\154 1 NONE,34\156 1 NONE,34\48 1 NONE,34\27 1 NONE,34\474 1 NONE,34\44 1 NONE,34\444 1 NONE,34\3 1 NONE,34\247 1 NONE,34\263 1 NONE,34\267 1 NONE,34\228 1 NONE,34\429 1 NONE,34\487 1 NONE,34\161 1 NONE,34\186 1 NONE,34\207 1 NONE,34\488 1 NONE,34\202 1 NONE
0071;34\63 1 NONE
00818;34\310 1 NONE
00a0451e6bf7;34\172 1 NONE
00a0c91a9d76;34\172 1 NONE
00a0c91e6be4;34\172 2 NONE
00am;34\178 1 NONE,34\147 1 NONE
00pm;34\77 1 NONE,34\352 1 NONE,34\299 1 NONE,34\317 1 NONE,34\208 1 NONE,34\498 1 NONE
00z;34\355 2 NONE,34\209 2 NONE
01;34\285 1 NONE,34\341 6 NONE,34\287 30 NONE,34\343 3 NONE,34\362 1 NONE,34\125 3 NONE,34\70 31 NONE,34\366 1 NONE,34\143 1 NONE,34\289 1 NONE,34\79 1 NONE,34\109 31 NONE,34\15 3 NONE,34\31 1 NONE,34\16 31 NONE,34\72 1 NONE,34\382 1 NONE,34\333 4 NONE,34\12 5 NONE,34\355 1 NONE,34\292 1 NONE,34\264 1 NONE,34\40 12 NONE,34\439 1 NONE,34\433 3 NONE,34\448 30 NONE,34\418 1 NONE,34\66 30 NONE,34\49 1 NONE,34\393 30 NONE,34\416 30 NONE,34\259 30 NONE,34\271 1 NONE,34\458 1 NONE,34\313 30 NONE,34\47 3 NONE,34\198 8 NONE,34\315 1 NONE,34\219 2 NONE,34\469 3 NONE,34\214 3 title,34\196 1 NONE,34\212 30 NONE,34\190 3 NONE,34\193 1 NONE,34\211 3 NONE,34\371 2 NONE,34\111 1 NONE,34\110 1 NONE,34\373 3 NONE,34\372 1 NONE,34\91 30 NONE,34\153 3 NONE,34\119 31 NONE,34\131 1 NONE,34\365 1 NONE,34\224 3 NONE,34\59 3 NONE,34\29 1 NONE,34\26 1 NONE,34\369 3 NONE,34\179 1 NONE,34\268 12 NONE,34\241 1 NONE,34\226 1 NONE,34\409 1 NONE,34\178 2 NONE,34\245 1 NONE,34\389 30 NONE,34\441 1 NONE,34\440 3 title,34\381 1 NONE,34\229 30 NONE,34\235 1 NONE,34\304 2 NONE,34\65 1 NONE,34\480 30 NONE,34\209 1 NONE,34\468 30 NONE,34\302 1 NONE,34\303 1 NONE,34\184 1 NONE,34\462 1 NONE,34\461 5 NONE,34\452 3 title
