0;43\450 27 NONE,43\55 45 NONE,43\318 1 NONE,43\373 26 NONE,43\330 2 NONE,43\371 2 NONE,43\377 2 NONE,43\376 3 NONE,43\374 2 NONE,43\467 1 NONE,43\379 3 NONE,43\464 3 NONE,43\463 1 NONE,43\89 3 NONE,43\461 80 NONE,43\460 2 NONE,43\175 2 NONE,43\174 14 NONE,43\411 2 NONE,43\172 3 NONE,43\272 3 NONE,43\270 1 NONE,43\276 3 NONE,43\274 2 NONE,43\275 2 NONE,43\419 26 NONE,43\414 1 NONE,43\496 2 title,43\86 2 NONE,43\306 3 NONE,43\85 45 NONE,43\8 2 NONE,43\307 2 NONE,43\488 3 NONE,43\418 2 NONE,43\349 1 NONE,43\388 35 NONE,43\389 2 NONE,43\386 2 NONE,43\413 2 NONE,43\385 2 NONE,43\416 3 NONE,43\383 2 NONE,43\380 2 NONE,43\269 2 NONE,43\141 3 NONE,43\304 3 NONE,43\143 1 NONE,43\302 2 NONE,43\147 2 NONE,43\148 28 NONE,43\149 2 NONE,43\263 1 NONE,43\262 2 NONE,43\264 2 NONE,43\267 2 NONE,43\309 2 NONE,43\261 2 NONE,43\60 3 NONE,43\46 2 NONE,43\70 2 NONE,43\65 2 NONE,43\75 2 NONE,43\77 2 NONE,43\254 2 NONE,43\255 2 NONE,43\257 1 NONE,43\399 1 NONE,43\251 45 NONE,43\403 2 NONE,43\253 45 NONE,43\400 1 NONE,43\397 2 NONE,43\396 2 NONE,43\258 27 NONE,43\259 2 NONE,43\80 2 NONE,43\392 2 NONE,43\314 2 NONE,43\317 1 NONE,43\316 3 NONE,43\310 2 NONE,43\159 2 NONE,43\158 15 NONE,43\448 2 NONE,43\88 3 NONE,43\155 80 NONE,43\154 3 NONE,43\153 1 NONE,43\152 2 NONE,43\151 1 NONE,43\150 2 NONE,43\99 3 NONE,43\490 9 NONE,43\491 39 NONE,43\402 3 NONE,43\495 16 NONE,43\62 55 NONE,43\63 2 NONE,43\498 1 NONE,43\64 7 NONE,43\34 2 NONE,43\434 10 NONE,43\236 7 NONE,43\437 2 NONE,43\430 26 NONE,43\432 27 NONE,43\433 2 NONE,43\439 847 NONE,43\243 26 NONE,43\242 1 NONE,43\43 10 NONE,43\372 26 NONE,43\244 36 NONE,43\248 2 NONE,43\128 1 NONE,43\54 16 NONE,43\324 3 NONE,43\325 2 NONE,43\326 5 NONE,43\122 3 NONE,43\329 45 NONE,43\120 1 NONE,43\338 1 NONE,43\125 2 NONE,43\337 2 NONE,43\483 10 NONE,43\484 1 NONE,43\487 330 NONE,43\336 2 NONE,43\322 1 NONE,43\52 1 NONE,43\423 2 NONE,43\421 2 NONE,43\476 2 NONE,43\331 1 NONE,43\301 3 NONE,43\136 27 NONE,43\139 2 NONE,43\138 27 NONE,43\235 3 NONE,43\44 2 NONE,43\45 2 NONE,43\339 1 NONE,43\231 2 NONE,43\131 2 NONE,43\130 28 NONE,43\335 3 NONE,43\332 2 NONE,43\137 2 NONE,43\239 1 NONE,43\458 1073 NONE,43\48 45 NONE,43\308 2 NONE,43\188 1 NONE,43\184 2 NONE,43\186 41 NONE,43\180 2 NONE,43\181 2 NONE,43\183 1 NONE,43\456 10 NONE,43\105 2 NONE,43\454 4 NONE,43\98 9 NONE,43\101 1 NONE,43\102 3 NONE,43\103 133 NONE,43\53 2 NONE,43\109 2 NONE,43\417 26 NONE,43\459 1 NONE,43\390 1 NONE,43\227 3 NONE,43\226 2 NONE,43\221 3 NONE,43\408 3 NONE,43\340 3 NONE,43\341 2 NONE,43\228 1 NONE,43\344 50 NONE,43\328 1 NONE,43\37 2 NONE,43\33 2 NONE,43\38 7 NONE,43\198 3 NONE,43\193 3 NONE,43\190 11 NONE,43\197 11 NONE,43\195 2 NONE,43\194 12 NONE,43\447 2 NONE,43\446 45 NONE,43\117 1 NONE,43\114 5 NONE,43\58 2 NONE,43\295 1 NONE,43\465 2 NONE,43\297 14 NONE,43\211 1 NONE,43\212 2 NONE,43\213 1 NONE,43\215 2 NONE,43\216 30 NONE,43\480 2 NONE,43\351 2 NONE,43\391 3 NONE,43\355 2 NONE,43\357 2 NONE,43\356 3 NONE,43\26 1 NONE,43\25 27 NONE,43\23 3 NONE,43\21 1 NONE,43\406 2 NONE,43\7 2 NONE,43\286 26 NONE,43\284 10 NONE,43\282 10 NONE,43\1 15 NONE,43\0 2 NONE,43\486 16 NONE,43\289 3 NONE,43\288 2 NONE,43\470 2 NONE,43\49 2 NONE,43\366 2 NONE,43\367 1 NONE,43\360 2 NONE,43\475 2 NONE,43\362 1 NONE,43\363 1 NONE,43\478 3 NONE,43\479 3 NONE,43\368 3 NONE,43\369 80 NONE,43\166 33 NONE,43\167 2 NONE,43\164 2 NONE,43\165 3 NONE,43\160 1 NONE,43\161 45 NONE,43\93 17 NONE,43\91 10 NONE,43\97 2 NONE,43\95 2 NONE,43\94 2 NONE,43\12 2 NONE,43\11 2 NONE,43\10 1 NONE,43\17 27 NONE,43\16 3 NONE,43\15 1 NONE,43\14 109 NONE,43\19 12 NONE
00;43\422 1 NONE,43\198 5 NONE,43\245 3 NONE,43\193 5 NONE,43\429 3 NONE,43\190 1 NONE,43\84 7 NONE,43\111 3 title,43\376 5 NONE,43\395 1 NONE,43\402 5 NONE,43\391 5 NONE,43\296 1 NONE,43\236 2 NONE,43\41 4 NONE,43\317 3 NONE,43\235 5 NONE,43\173 3 title,43\158 4 NONE,43\272 5 NONE,43\130 1 NONE,43\335 12 NONE,43\154 5 NONE,43\137 5 NONE,43\356 5 NONE,43\60 5 NONE,43\499 1 NONE,43\64 2 NONE,43\484 1 NONE,43\40 1 NONE,43\1 4 NONE,43\186 1 NONE,43\289 5 NONE,43\183 1 NONE,43\457 1 NONE,43\316 5 NONE,43\102 5 NONE,43\103 172 NONE,43\249 105 NONE,43\57 1 NONE,43\141 2 NONE,43\322 1 NONE,43\165 5 NONE,43\144 1 NONE,43\145 1 NONE,43\342 2 NONE,43\228 2 NONE,43\200 1 NONE,43\35 27 NONE,43\16 5 NONE,43\487 7 NONE,43\14 130 NONE,43\488 5 NONE,43\388 10 NONE
000;43\434 3 NONE,43\54 1 NONE,43\342 1 NONE,43\335 1 NONE,43\486 5 NONE,43\318 1 NONE,43\454 1 NONE,43\98 3 NONE,43\377 1 NONE,43\103 98 NONE,43\117 2 NONE,43\495 5 NONE
0000;43\434 1 NONE,43\19 1 NONE,43\98 1 NONE,43\103 142 NONE
000000;43\166 2 NONE,43\411 2 NONE,43\310 1 NONE,43\487 2 NONE
0000cd;43\495 1 NONE,43\486 1 NONE
0001;43\103 1 NONE
0001pt;43\130 8 NONE,43\186 2 NONE,43\190 2 NONE
001;43\487 1 NONE,43\103 1 NONE
0020;43\103 2 NONE
0021;43\318 1 NONE
005;43\240 1 NONE
0050;43\103 4 NONE
0055;43\344 1 NONE
006;43\240 1 NONE
0060;43\103 1 NONE
00638;43\297 1 NONE
0064a4;43\448 1 NONE,43\374 1 NONE,43\447 1 NONE,43\377 1 NONE,43\357 1 NONE,43\114 1 NONE,43\418 1 NONE,43\397 1 NONE,43\396 1 NONE,43\259 1 NONE,43\465 1 NONE,43\460 1 NONE,43\139 1 NONE,43\314 1 NONE,43\212 1 NONE,43\44 1 NONE,43\215 1 NONE,43\159 1 NONE,43\231 1 NONE,43\131 1 NONE,43\355 1 NONE,43\332 1 NONE,43\274 1 NONE,43\150 1 NONE,43\94 1 NONE,43\34 1 NONE,43\175 1 NONE,43\437 1 NONE,43\8 1 NONE,43\184 1 NONE,43\383 1 NONE,43\288 1 NONE,43\470 1 NONE,43\366 1 NONE,43\360 1 NONE,43\389 1 NONE,43\386 1 NONE,43\413 1 NONE,43\248 1 NONE,43\109 1 NONE,43\380 1 NONE,43\45 1 NONE,43\269 1 NONE,43\141 1 NONE,43\86 1 NONE,43\226 1 NONE,43\302 1 NONE,43\325 1 NONE,43\261 1 NONE,43\149 1 NONE,43\264 1 NONE,43\309 1 NONE,43\12 1 NONE,43\11 1 NONE,43\70 1 NONE,43\75 1 NONE
00am;43\67 1 NONE,43\487 1 NONE
00pm;43\141 2 NONE,43\484 1 NONE
00z;43\130 3 NONE,43\186 2 NONE,43\190 2 NONE
01;43\85 3 NONE,43\371 1 NONE,43\376 31 NONE,43\469 1 NONE,43\83 1 NONE,43\379 1 NONE,43\464 1 NONE,43\411 17 NONE,43\272 31 NONE,43\270 1 NONE,43\388 2 NONE,43\385 1 NONE,43\307 1 NONE,43\305 1 NONE,43\144 1 NONE,43\262 1 NONE,43\308 1 NONE,43\71 1 NONE,43\251 3 NONE,43\253 3 NONE,43\403 1 NONE,43\402 30 NONE,43\391 30 NONE,43\393 3 title,43\392 1 NONE,43\316 30 NONE,43\311 2 NONE,43\310 12 NONE,43\158 1 NONE,43\154 30 NONE,43\492 1 NONE,43\60 31 NONE,43\64 2 NONE,43\65 1 NONE,43\433 1 NONE,43\240 2 NONE,43\249 1 NONE,43\55 3 NONE,43\329 3 NONE,43\126 3 NONE,43\480 1 NONE,43\483 1 NONE,43\487 2 NONE,43\488 31 NONE,43\423 1 NONE,43\421 1 NONE,43\476 1 NONE,43\236 2 NONE,43\235 30 NONE,43\46 1 NONE,43\48 3 NONE,43\130 1 NONE,43\137 8 NONE,43\330 1 NONE,43\337 1 NONE,43\188 1 NONE,43\185 3 NONE,43\102 30 NONE,43\458 26 NONE,43\221 2 NONE,43\341 1 NONE,43\35 1 NONE,43\198 30 NONE,43\193 30 NONE,43\446 3 NONE,43\116 1 NONE,43\119 1 NONE,43\213 1 NONE,43\352 2 NONE,43\356 30 NONE,43\28 1 NONE,43\1 1 NONE,43\0 1 NONE,43\289 32 NONE,43\364 1 NONE,43\367 1 NONE,43\362 2 NONE,43\363 1 NONE,43\368 1 NONE,43\167 1 NONE,43\164 1 NONE,43\165 30 NONE,43\160 1 NONE,43\161 3 NONE,43\97 1 NONE,43\95 1 NONE,43\16 30 NONE
010;43\240 1 NONE
0101;43\19 1 NONE
